Symbol,Description
5BS.SI,Pne Micron Holdings Ltd
5CF.SI,Okp Holdings Limited
5CP.SI,Silverlake Axis Ltd
5CR.SI,Asiatic Group (holdings) Ltd
5CT.SI,Ecowise Holdings Limited
5DD.SI,Micro-mechanics (holdings) Ltd
5DM.SI,Ying Li Intl Real Estate Ltd
5DN.SI,Ezra Holdings Limited
5DO.SI,Sakae Holdings Ltd.
5DP.SI,Heeton Holdings Limited
5DS.SI,Megachem Limited
5DX.SI,Metal Component Engg Ltd
5EB.SI,Cfm Holdings Limited
5EC.SI,ISR Capital
5EF.SI,Adventus Holdings Limited
5EG.SI,New Lakeside Holdings Limited
5EN.SI,Midas Hldgs Limited
5EV.SI,Hosen Group Ltd
5EW.SI,Pan Asian Holdings Limited
5F4.SI,Figtree Holdings Limited
5F7.SI,Hartawan Hldgs Ltd
5FL.SI,Falcon Energy Group Limited
5FW.SI,Linair Technologies Limited
5FX.SI,New Wave Holdings Ltd.
5G1.SI,Eurosports Global Limited
5G2.SI,Kimheng Offshore&marine Hldltd
5G3.SI,Talkmed Group Limited
5G4.SI,Infinio Group Limited
5G9.SI,Tritech Group Limited
5GD.SI,Sunpower Group Ltd.
5GI.SI,Interra Resources Limited
5GJ.SI,Ausgroup Limited
5GZ.SI,Aa Group Holdings Ltd.
5HG.SI,Oniontech Limited
5HH.SI,Hln Technologies Limited
5HT.SI,Communication Design Intl Ltd
5HV.SI,Metax Engineering Corp Limited
5I1.SI,Kop Limited
5I4.SI,Icp Ltd
5IC.SI,Sing Holdings Limited
5IE.SI,Lorenzo International Limited
5IF.SI,Natural Cool Holdings Limited
5IG.SI,Gallant Venture Ltd.
5JK.SI,Hiap Hoe Limited
5JS.SI,Indofood Agri Resources Ltd.
5KI.SI,Soup Restaurant Group Limited
5L7W.SI,Geely 5xshortub250228
5L9W.SI,Singtelmbecw231215
5LE.SI,Sitra Holdings (intl) Limited
5LY.SI,Marco Polo Marine Ltd.
5MD.SI,Soon Lian Holdings Limited
5ML.SI,Old Chang Kee Ltd.
5MZ.SI,Kingsmen Creatives Ltd
5NF.SI,Mencast Holdings Ltd.
5NG.SI,Healthway Medical Corp Ltd
5NV.SI,Chasen Holdings Limited
5O9W.SI,Xiaomi 5xlongub250228
5OC.SI,Koyo International Limited
5OI.SI,Japan Foods Holding Ltd.
5OQ.SI,Teho International Inc Ltd.
5OR.SI,Heatec Jietong Holdings Ltd.
5OU.SI,China Environment Ltd.
5OX.SI,Mary Chia Holdings Limited
5PC.SI,Goodland Group Limited
5PD.SI,Hengyang Petrochem Log Limited
5PF.SI,Jason Marine Group Limited
5PL.SI,Sbi Offshore Limited
5PO.SI,Hiap Tong Corporation Ltd.
5Q4W.SI,Djia 30000mbepw231215
5QR.SI,Mann Seng Metal Intl Limited
5QT.SI,Charisma Energy
5QY.SI,Net Pacific Fin Hldgs Ltd
5RA.SI,Asia-pacific Strategic Inv Ltd
5RC.SI,Es Group (holdings) Limited
5RE.SI,Smartflex Holdings Ltd
5RF.SI,Friven & Co. Ltd.
5SO.SI,Duty Free Internationallimited
5SR.SI,Zhongmin Baihui Retail Grp Ltd
5SY.SI,Chew's Group Limited
5TI.SI,Kitchen Culture Holdings Ltd.
5TJ.SI,Far East Group Limited
5TP.SI,Cnmc Goldmine Holdings Limited
5TT.SI,Keong Hong Holdings Limited
5TY.SI,Advanced Systems Automation
5UA.SI,Starland Holdings Limited
5UF.SI,Maxi-cash Fin Svcs Corp Ltd
5UL.SI,Atlantic Navigation Hldg(s)ltd
5UN.SI,Sincap Group Limited
5UX.SI,Oxley Holdings Limited
5VC.SI,Kori Holdings Limited
5VI.SI,Logistics Holdings Limited
5VJ.SI,Halcyon Agri Corporation Ltd
5VP.SI,Gds Global Limited
5VS.SI,Hafary Holdings Limited
5WA.SI,Intl Healthway Corp Limited
5WF.SI,Isoteam Ltd.
5WG.SI,Singapore Kitchen Equipmentltd
5WH.SI,Rex International Holding Ltd
5WJ.SI,Moneymax Financial Servicesltd
5WV.SI,Asiaphos Limited
5XAW.SI,Meituan Mb Epw240103
5YCW.SI,Yzj 5xshortsg231115
600.SI,Hyflux Ltd
6AZB.SI,Astrea Vi3%b310318#
7QQS.SI,Nz07100s 270301
8A1.SI,Forise Int
8AZ.SI,Aztech Gbl
8K7.SI,Ughealthcare
8K9R.SI,Meta Health R
8P1W.SI,Wilmar Mb Ecw240201
8R7W.SI,Tencen3xshortub250428us$
8R9W.SI,Dbs Mb Ecw240701
8U7U.SI,Ireit Global Eur
8Y2W.SI,Jd 5xlongub250127
8YIW.SI,Sunny 5xshortub250430
8YLS.SI,Nz19100s 390701
8YY.SI,Biolidics Limited
92FW.SI,Clife 5xlongub250430
92NW.SI,Nasdaq 7xshortub250922
933W.SI,Sunny Mb Ecw241203
966W.SI,Nky 31500mbecw231208
96DW.SI,Datapulse Tech W271128
97XW.SI,Djia 5xshortub250922
98CW.SI,Uob Mb Ecw231110
9BOW.SI,Simsci 380mbecw231229
9CI.SI,Capitalandinvest
9CXW.SI,Gentingsmbecw240202
9D2W.SI,Alibaba Mb Ecw240503
9E9W.SI,Valuemax W260914
9ERW.SI,Nky 37000mbecw240308
9GBW.SI,Xiaomi 5xlongub250930
9HNW.SI,Cnooc 5xshortub250228
9J2W.SI,Petroch 5xlongub250430
9MSW.SI,Gentingsmbecw240626
9NDW.SI,Tencent 5xshortub250127
9PPW.SI,Petroch 5xshortub250430
9QEW.SI,Tencent 5xshortub250228
9VUW.SI,Pingan Mb Epw240403
9W2W.SI,Cosco 5xlongub251031
9YVW.SI,Tencentmbepw240503
9ZIW.SI,Nasdaq 7xlongub250922
A04.SI,Asl Marine Holdings Ltd
A05.SI,Avjennings Limited
A17U.SI,Ascendas Real Estate Inv Trust
A26.SI,Sinarmas Land Limited
A30.SI,Aspial Corporation Limited
A31.SI,Addvalue Technologies Ltd
A33.SI,Blumont Group Ltd.
A34.SI,Amara Holdings Ltd
A35.SI,Abf Spore Bond Index Fund Etf
A50.SI,Rowsley Ltd.
A52.SI,Annaik Limited
A55.SI,Asia Enterprises Holding Ltd
A78.SI,Liongold Corp Ltd
A7RU.SI,Cityspring Infrastruct Trust
A95W.SI,Katrina W281008
AAJ.SI,Sunmoon Food Company Limited
ACV.SI,Frasers Hospitality Trust
ADN.SI,First Sponsor Group Limited
AFC.SI,Yuuzoo Corporation
AFUS.SI,Nx15100z 250601
AGS.SI,The Hour Glass Limited
AIY.SI,Ifast Corporation Ltd.
AJ2.SI,Ouhua Energy Holdings Limited
AJBU.SI,Keppel Dc Reit
AOF.SI,Amplefield Limited
AP4.SI,Riverstone Holdings Limited
AU8U.SI,Capitaretail China Trust
AVM.SI,Boustead Projects Limited
AVX.SI,Hl Global Enterprises Limited
AW9U.SI,First Real Estate Inv Trust
AWC.SI,Lindeteves-jacoberg Ltd
AWG.SI,Aei Corporation Ltd
AWI.SI,Thakral Corporation Ltd
AWK.SI,Fuxing China Group Limited
AWM.SI,Shanghai Turbo Enterprises Ltd
AWV.SI,Captii Limited
AWX.SI,Aem Holdings Ltd
AWZ.SI,Multi-chem Limited
AXB.SI,Yongnam Holdings Limited
AYN.SI,Global Testing Corporation Ltd
AYV.SI,Acma Ltd.
AZA.SI,Ipc Corporation Limited
AZG.SI,8telecom Intl Holdings Co Ltd
AZR.SI,United Food Holdings Limited
AZT.SI,Lottvision Limited
B0Z.SI,China Fishery Group Limited
B26.SI,Ban Leong Technologies Limited
B28.SI,Bonvests Holdings Ltd
B49.SI,World Precision Machinery Ltd
B58.SI,Banyan Tree Holdings Limited
B61.SI,Bukit Sembawang Estates Ltd
B69.SI,Broadway Industrial Group Ltd
B73.SI,Global Investments Limited
B9S.SI,Cosmosteel Holdings Limited
BAC.SI,Jacks International Limited
BAI.SI,S I2i Limited
BAZ.SI,Lion Asiapac Ltd
BBP.SI,Hor Kew Corporation Limited
BBW.SI,Azeus Systems Holdings Ltd.
BCD.SI,China Yuanbang Prop Hldgs Ltd
BCV.SI,Qian Hu Corporation Limited
BCY.SI,Powermatic Data Systems Ltd
BCZ.SI,Travelite Holdings Ltd.
BDA.SI,Pne Industries Ltd
BDR.SI,Willas-array Elec (hldgs) Ltd
BDU.SI,Federal Int(2000) Ltd
BDX.SI,Gsh Corporation Limited
BEC.SI,Brc Asia Limited
BEH.SI,China International Hldgs Ltd
BEI.SI,Lht Holdings Limited
BEV.SI,Swing Media Technology Grp Ltd
BEW.SI,Jb Foods Limited
BEZ.SI,Beng Kuang Marine Limited
BFI.SI,Tiong Seng Holdings Limited
BFK.SI,Pharmesis International Ltd.
BFT.SI,Fabchem China Limited
BFU.SI,Tye Soon Ltd
BGO.SI,Universal Resource & Svcs Ltd
BHD.SI,China Mining International Ltd
BHK.SI,Siic Environment Holdings Ltd.
BHU.SI,Sutl Enterprise Limited
BIP.SI,Vibrant Group Limited
BIX.SI,Ellipsiz Ltd
BJD.SI,Vibropower Corporation Limited
BJGS.SI,Na16100h 460301
BJHS.SI,Nx16100f 260601
BJIS.SI,Nz16100x 360801
BJV.SI,Yamada Green Resources Limited
BJZ.SI,Koda Ltd
BKA.SI,Sin Heng Heavy Machinery Ltd
BKK.SI,Luxking Group Holdings Limited
BKV.SI,Dukang Distillers Hldgs Ltd
BKW.SI,Datapulse Technology Limited
BKX.SI,Yongmao Holdings Limited
BKZ.SI,Suntar Eco-city Limited
BLA.SI,Union Steel Holdings Limited
BLH.SI,Hai Leck Holdings Limited
BLR.SI,Darco Water Technologies Ltd
BLS.SI,Hotung Investment Hldgs Ltd
BLU.SI,Grp Ltd
BLZ.SI,Advanced Holdings Ltd.
BMGU.SI,Bhg Retail Reit
BMT.SI,New Silkroutes Group Limited
BN2.SI,Valuetronics Holdings Limited
BN4.SI,Keppel Corporation Limited
BNE.SI,Kencana Agri Limited
BPF.SI,Yhi International Limited
BQC.SI,Xpress Holdings Ltd
BQD.SI,Envictus International Hldgltd
BQF.SI,Xmh Holdings Ltd.
BQM.SI,Tiong Woon Corp Holding Ltd
BQN.SI,Bh Global Corporation Limited
BQP.SI,Southern Packaging Group Ltd
BRD.SI,Sapphire Corporation Limited
BRS.SI,Usp Group Limited
BS6.SI,Yangzijiang Shipbldg Hldgs Ltd
BSL.SI,Raffles Medical Group Ltd
BTE.SI,Bund Center Investment Ltd
BTF.SI,Debao Property Development Ltd
BTG.SI,Hg Metal Manufacturing Ltd
BTJ.SI,A-sonic Aerospace Limited
BTM.SI,Penguin International Limited
BTOU.SI,Manulife Us Reit
BTP.SI,Baker Technology Limited
BTWZ.SI,Hyflux S$500m6%perpcapsec
BTX.SI,Anchun International Hldgs Ltd
BTY.SI,Full Apex (holdings) Limited
BUOU.SI,Frasers Logistics & Ind Trust
BVA.SI,Top Glove Corporation Bhd
BVP.SI,Aims Property Securities Fund
BVQ.SI,Procurri Corporation Limited
BWCU.SI,Ec World Reit
BWM.SI,China Jinjiang Env Hldg Co Ltd
BXE.SI,Cdw Holding Limited
BYI.SI,Phillip Sgx Apac Div Reit Etf
BYJ.SI,Phillip Sgx Apacdiv Reit Etfs$
C04.SI,Casa Holdings Limited
C05.SI,Chemical Industries (f.e.) Ltd
C06.SI,Csc Holdings Ltd
C07.SI,Jardine Cycle & Carriage Ltd
C09.SI,City Developments Limited
C13.SI,Ch Offshore Ltd
C2PU.SI,Parkwaylife Reit
C33.SI,Chuan Hup Holdings Limited
C38U.SI,Capitamall Trust
C41.SI,Cortina Holdings Limited
C52.SI,Comfortdelgro Corporation Ltd
C6L.SI,Singapore Airlines Ltd
C70.SI,City Developments Ltd Nccps
C76.SI,Creative Technology Ltd
C8R.SI,Jiutian Chemical Group Limited
C9Q.SI,Sinostar Pec Holdings Limited
CC3.SI,Starhub Ltd
CDVZ.SI,Krisenergy S$139.464mz240131
CDXW.SI,Krisenergy Ltd. W240131
CEDU.SI,Dasin Retail Trust
CFA.SI,Nikkoam-stc Asia_xj Reit Etf
CGN.SI,Best World International Ltd
CHJ.SI,Uni-asia Group Limited
CHZ.SI,Hrnetgroup Limited
CIN.SI,Courage Marine Group Limited
CJLU.SI,Netlink Nbn Trust
CJN.SI,British & Malayan Hldg Limited
CLN.SI,Apac Realty Limited
CLR.SI,Lion-phillip S-reit Etf
CMGS.SI,Nx18100a 280501
CMOU.SI,Keppel-kbs Us Reit
CNE.SI,Mindchamps Preschool Limited
COI.SI,Nikkoam-stc Asia_xj Reit Us$
CRPU.SI,Sasseur Reit
CTO.SI,Hong Lai Huat Group Limited
CUEW.SI,S&p 5xlongsg250228
CUFW.SI,Hscei 7xlongsg240327
CUGW.SI,Sti 2xlongsg250529
CUJW.SI,Djia 5xlongsg250911
CUMW.SI,Djia 5xshortsg250911a
CUNW.SI,Nasdaq 7xshortsg241016
CUPW.SI,Nasdaq 7xlongsg241016
CUQW.SI,Djia 7xshortsg241016
CURW.SI,Djia 7xlongsg241016
CUTW.SI,S&p 7xshortsg241218
CUUW.SI,Hsi 7xlongsg231215
CUXW.SI,Nasdaq 7xlongsg241126
CVAW.SI,Hsi 7xlongsg240215
CVDW.SI,Hsi 7xlongsg240327
CVEW.SI,Sti 5xlongsg250529
CVFW.SI,Djia 5xshortsg250911
CVGW.SI,Hscei 5xlongsg240912
CVHW.SI,Hstech 5xlongsg231102
CVIW.SI,Hsi 7xshortsg241218
CVJW.SI,Simsci 5xlongsg260226
CVKW.SI,Hstech 7xlongsg240416
CVMW.SI,Hsi 5xlongsg261029
CVRW.SI,Hscei 7xshortsg251029
CVYW.SI,Hstech 7xshortsg251029
CWBU.SI,Cromwell Reit Eur
CWCU.SI,Cromwell Reit Sgd
CWFW.SI,Hscei 7xlongsg240424
CWGW.SI,Hstech 5xshortsg240327
CWHW.SI,Sti 7xlongsg250529
CWIW.SI,Djia 5xlongsg250911a
CWKW.SI,Hscei 5xshortsg240912
CWLW.SI,Hsi 7xlongsg241030
CWMW.SI,Hstech 5xshortsg241218
CWPW.SI,Simsci 5xshortsg260226
CWQW.SI,Hstech 7xshortsg240416
CWRW.SI,Hstech 5xlongsg250904
CWUW.SI,Hstech 5xlongsg261029
CXBW.SI,S&p 5xshortsg250228
CXCW.SI,Hstech 5xlongsg240424
CXEW.SI,Ndx 5xshortsg240425
CXGW.SI,Sti 2xshortsg250529
CXIW.SI,S&p 7xshortsg241016
CXJW.SI,Hscei 7xshortsg240912
CXKW.SI,Hsi 5xshortsg241030
CXLW.SI,Simsci 7xlongsg260226a
CXMW.SI,Hstech 7xlongsg240402
CXPW.SI,Hsi 7xlongsg251029
CXRW.SI,Hscei 7xshortsg231215
CXS.SI,Uobam Pingan Chinext S$
CXU.SI,Uobam Pingan Chinext Us$
CXVW.SI,S&p 4800mbecw240315
CXXW.SI,Nasdaq 7xshortsg261029
CXZW.SI,Simsci 7xshortsg250716
CY6U.SI,Ascendas India Trust
CYAW.SI,S&p 5xlongsg250228a
CYB.SI,Icbc Csop Cgb Etf Us$d
CYC.SI,Icbc Csop Cgb Etf S$
CYDW.SI,Ndx 5xlongsg240425
CYEW.SI,Ndx 5xshortsg240425a
CYFW.SI,Hscei 7xlongsg231215
CYGW.SI,Sti 5xshortsg250529
CYIW.SI,S&p 7xlongsg241016
CYJW.SI,Hsi 5xlongsg240912
CYMW.SI,Hstech 5xlongsg241218
CYNW.SI,Simsci 7xlongsg260226
CYOW.SI,Hstech 7xshortsg240402
CYPW.SI,Hstech 7xlongsg250304
CYSW.SI,Hstech 7xlongsg251029
CYW.SI,Tricklestar
CYX.SI,Icbc Csop Cgb Etf Us$a
CZDW.SI,Simsci 7xshortsg231215
CZEW.SI,S&p 5xshortsg250228a
CZFW.SI,Ndx 5xlongsg240425a
CZGW.SI,Sti 7xshortsg250529
CZHW.SI,Hsi 7xlongsg240912
CZIW.SI,Hscei 7xlongsg241114
CZJW.SI,Hsi 5xshortsg240912
CZLW.SI,Hsi 5xlongsg250416
CZMW.SI,Hsi 7xshortsg240125
CZNW.SI,Nasdaq 7xshortsg260401
CZOW.SI,Hscei 7xlongsg250304
CZRW.SI,Hsi 5xshortsg261029
CZZW.SI,Nasdaq 7xshortsg241218
D01.SI,Dairy Farm Int'l Holdings Ltd
D03.SI,Del Monte Pacific Limited
D05.SI,Dbs Group Holdings Ltd
D07.SI,Spdr Djia Etf Trust
D5IU.SI,Lippo Malls Indo Retail Trust
D8DU.SI,First Ship Lease Trust
DAIW.SI,Lenovo 5xlongsg240215
DAKW.SI,Wilmar 5xshortsg240424
DAMW.SI,Hkex 5xlongsg240516
DATW.SI,Aac 5xlongsg231214
DAVW.SI,Meituan 5xlongsg231024
DAYW.SI,Alibaba 5xlongsg231024
DBIW.SI,Lenovo 5xshortsg240215
DBPW.SI,Anta 5xlongsg240620
DBWW.SI,Kuaisho 5xlongsg231024
DBYW.SI,Singtel 5xlongsg231214
DCDW.SI,Geely 5xshortsg231214
DCGW.SI,Sia 5xlongsg240424
DCJW.SI,Lining 5xlongsg231019
DCQW.SI,Hkex 5xshortsg250205
DCRU.SI,Digicore Reit Usd
DCUW.SI,Alibaba 5xlongsg250205
DCVW.SI,Citydev 5xlongsg250226
DCXW.SI,Venture 5xlongsg250226
DCZW.SI,Aac 5xlongsg240327
DDPW.SI,Sgx 5xlongsg240424
DDSW.SI,Sats 5xlongsg250515
DDYW.SI,Jd 5xlongsg231024
DEEW.SI,Pingan 5xlongsg240424
DEFW.SI,Sats 5xshortsg250515
DEHW.SI,Xiaomi 5xlongsg231102
DELW.SI,Hsbc 5xshortsg250205
DEMW.SI,Wuxibio 5xlongsg240205
DENW.SI,Dbs 5xlongsg250226
DEOW.SI,Dbs 5xshortsg250226
DEPW.SI,Cmob 5xlongsg250327
DEQW.SI,Alibaba 5xlongsg241126
DETW.SI,Baidu 5xlongsg241126
DEVW.SI,Byd 5xlongsg250626
DEWW.SI,Cosco 5xlongsg250626
DFEW.SI,Yzj 5xshortsg231024
DFIW.SI,Ocbc 5xshortsg240424
DFKW.SI,Sembcorp 5xlongsg250515
DFLW.SI,Lining 5xlongsg240620
DFMW.SI,Wuxibio 5xlongsg231102
DFRW.SI,Netease 5xshortsg250205
DFTW.SI,Alibaba 5xshortsg240205
DFUW.SI,Genting 5xlongsg250226
DFWW.SI,Ocbc 5xshortsg250226
DFXW.SI,Geely 5xlongsg240327
DFYW.SI,Dlc Sg5xshort Byd
DFZW.SI,Lining 5xshortsg240327
DGEW.SI,Areit 5xshortsg231214
DGJW.SI,Uob 5xshortsg241024
DGKW.SI,Kepcorp 5xshortsg240424
DGMW.SI,Sembcorp 5xshortsg250515
DGUW.SI,Tencent 5xlongsg231102
DGWW.SI,Sunny 5xshortsg240205
DGYW.SI,Byd 5xshortsg240205
DHHW.SI,Uob 5xlongsg251023
DHLU.SI,Daiwa Hse Log Tr
DHNW.SI,Kepcorp 5xlongsg240424
DHQW.SI,Steng 5xlongsg250515
DHUW.SI,Sinobio 5xlongsg231102
DHVW.SI,Sinobio 5xshortsg231220
DHWW.SI,Tencent 5xshortsg240205
DHXW.SI,Galaxy 5xshortsg250205
DHZW.SI,Petroch 5xshortsg231012
DIBW.SI,Ckasset 5xshortsg231019
DIDW.SI,Sunny 5xlongsg231024
DIFW.SI,Ocbc 5xlongsg251023
DIGW.SI,Steng 5xshortsg250515
DIHW.SI,Tencent 5xlongsg231214
DIKW.SI,Petroch 5xlongsg241030
DIMW.SI,Aia 5xshortsg250327
DINW.SI,Dlc Sg5xlong Byd
DIOW.SI,Ocbc 5xlongsg250226
DIPW.SI,Pingan 5xlongsg250626
DISW.SI,Alibaba 5xlongsg250904
DITW.SI,Wuxibio 5xlongsg250306
DJHW.SI,Ckasset 5xlongsg231019
DJJW.SI,Sats 5xlongsg231024
DJLW.SI,Cmb 5xlongsg240801
DJOW.SI,Geely 5xlongsg231102
DJPW.SI,Sunny 5xlongsg240327
DJSW.SI,Uob 5xlongsg250226
DJVW.SI,Bilibili 5xlongsg250306
DKAW.SI,Aac 5xlongsg240201
DKBW.SI,Dbs 5xlongsg240306
DKLW.SI,Sinobio 5xlongsg231220
DKNW.SI,Cspc 5xlongsg231102
DKOW.SI,Byd 5xlongsg250904
DKZW.SI,Kepcorp 5xlongsg250904
DLDW.SI,Dbs 5xshortsg240306
DLHW.SI,Cnooc 5xshortsg241030
DLJW.SI,Baidu 5xlongsg231115
DLKW.SI,Kingdee 5xlongsg231220
DLNW.SI,Xiaomi 5xshortsg231220
DLSW.SI,Kingsof 5xshortsg231220
DLTW.SI,Hkex 5xshortsg240125
DLVW.SI,Bilibili 5xlongsg231220
DLZW.SI,Yzj 5xlongsg241218
DM0.SI,Psc Corporation Ltd
DMFW.SI,Cnooc 5xlongsg240201
DMIW.SI,Tencent 5xshortsg231214
DMNW.SI,Hkex 5xlongsg231102
DMRW.SI,Kuaisho 5xlongsg231115
DMYW.SI,Sands 5xshortsg231220
DNKW.SI,Lining 5xlongsg231115
DNLW.SI,Netease 5xlongsg231115
DNNW.SI,Pingan 5xshortsg231220
DNPW.SI,Byd 5xlongsg231220
DNQW.SI,Kuaisho 5xlongsg231220
DNVW.SI,Jd 5xlongsg231220
DNWW.SI,Wilmar 5xlongsg241218
DOCW.SI,Hsbc 5xlongsg250203
DOGW.SI,Uob 5xlongsg240306
DOOW.SI,Kingdee 5xshortsg231220
DOPW.SI,Dlc Sg5xlong Pahealth
DORW.SI,Alibaba 5xlongsg231123
DOSW.SI,Pingan 5xlongsg231115
DOVW.SI,Meituan 5xshortsg231220
DOWW.SI,Tencent 5xlongsg231220
DOYW.SI,Bydelec 5xlongsg231220a
DPBW.SI,Wilmar 5xlongsg240306
DPGW.SI,Sgx 5xshortsg241218
DPHW.SI,Alibaba 5xshortsg231123
DPJW.SI,Geely 5xshortsg231115
DPKW.SI,Kuaisho 5xshortsg231220
DPNW.SI,Capinv 5xlongsg260716
DPPW.SI,Jd 5xlongsg250116
DPRW.SI,Thaibev 5xlongsg250716
DPTW.SI,Yzj 5xshortsg250716
DPZW.SI,Venture 5xshortsg241218
DQCW.SI,Cnooc 5xshortsg240201
DQGW.SI,Genting 5xshortsg240306
DQKW.SI,Sembcorp 5xshortsg241218
DQLW.SI,Aac 5xshortsg231123
DQRW.SI,Sunny 5xshortsg231115
DQSW.SI,Jd 5xshortsg231220
DQUW.SI,Byd 5xlongsg250116
DQVW.SI,Comfort 5xlongsg250716
DQXW.SI,Sats 5xlongsg260716
DQYW.SI,Kepcorp 5xshortsg250716
DQZW.SI,Kuaisho 5xlongsg250904
DRBW.SI,Sia 5xshortsg240306
DRHW.SI,Tencent 5xshortsg240411
DRJW.SI,Galaxy 5xlongsg250626
DRKW.SI,Meituan 5xlongsg241126
DRMW.SI,Bydelec 5xshortsg231220a
DROW.SI,Dbs 5xlongsg250716
DRPW.SI,Tencent 5xlongsg250716
DRQW.SI,Sia 5xshortsg250716
DRX.SI,St Group Food
DRZW.SI,Venture 5xlongsg241218
DSGW.SI,Cmb 5xshortsg231019
DSMW.SI,Uob 5xshortsg240306
DSOW.SI,Xiaomi 5xshortsg231214
DSQW.SI,Jd 5xshortsg240327
DSRW.SI,Djia 7xlongub250922
DSTW.SI,Sunny 5xshortsg231214
DSWW.SI,Meituan 5xlongsg240327
DSXW.SI,Baidu 5xshortsg231220
DSZW.SI,Netease 5xlongsg241126
DTDW.SI,Cmb 5xlongsg231019
DTHW.SI,Byd 5xshortsg231214
DTIW.SI,Hsbc 5xshortsg241213
DTMW.SI,Cmob 5xlongsg250213
DU4.SI,Mermaid Maritime Public Co Ltd
DUHW.SI,Cmob 5xshortsg250213
